"","p","n","cor","pval"
"410",5,200,0,0.772
"411",5,200,0,0.784
"412",5,200,0,0.208
"413",5,200,0,0.724
"414",5,200,0,0.0669999999999999
"415",5,200,0,0.618
"416",5,200,0,0.457
"417",5,200,0,0.9
"418",5,200,0,0.478
"419",5,200,0,0.425
"420",5,200,0,0.305
"421",5,200,0,0.568
"422",5,200,0,0.014
"423",5,200,0,0.529
"424",5,200,0,0.672
"425",5,200,0,0.439
"426",5,200,0,0.887
"427",5,200,0,0.188
"428",5,200,0,0.162
"429",5,200,0,0.874
"430",5,200,0,0.23
"431",5,200,0,0.004
"432",5,200,0,0.677
"433",5,200,0,0.326
"434",5,200,0,0.928
"435",5,200,0,0.6
"436",5,200,0,0.354
"437",5,200,0,0.206
"438",5,200,0,0.721
"439",5,200,0,0.827
"440",5,200,0,0.653
"441",5,200,0,0.558
"442",5,200,0,0.533
"443",5,200,0,0.486
"444",5,200,0,0.343
"445",5,200,0,0.664
"446",5,200,0,0.362
"447",5,200,0,0.632
"448",5,200,0,0.327
"449",5,200,0,0.109
"450",5,200,0,0.777
"451",5,200,0,0.015
"452",5,200,0,0.025
"453",5,200,0,0.554
"454",5,200,0,0.506
"455",5,200,0,0.135
"456",5,200,0,0.276
"457",5,200,0,0.283
"458",5,200,0,0.961
"459",5,200,0,0.857
"460",5,200,0,0.74
"461",5,200,0,0.359
"462",5,200,0,0.919
"463",5,200,0,0.029
"464",5,200,0,0.445
"465",5,200,0,0.157
"466",5,200,0,0.158
"467",5,200,0,0.11
"468",5,200,0,0.33
"469",5,200,0,0.081
"470",5,200,0,0.071
"471",5,200,0,0.987
"472",5,200,0,0.9
"473",5,200,0,0.963
"474",5,200,0,0.849
"475",5,200,0,0.695
"476",5,200,0,0.276
"477",5,200,0,0.25
"478",5,200,0,0.934
"479",5,200,0,0.044
"480",5,200,0,0.517
"481",5,200,0,0.15
"482",5,200,0,0.739
"483",5,200,0,0.883
"484",5,200,0,0.163
"485",5,200,0,0.975
"486",5,200,0,0.23
"487",5,200,0,0.986
"488",5,200,0,0.257
"489",5,200,0,0.085
"490",5,200,0,0.819
"491",5,200,0,0.461
"492",5,200,0,0.937
"493",5,200,0,0.026
"494",5,200,0,0.548
"495",5,200,0,0.348
"496",5,200,0,0.302
"497",5,200,0,0.662
"498",5,200,0,0.412
"499",5,200,0,0.322
"500",5,200,0,0.127
"501",5,200,0,0.407
"502",5,200,0,0.445
"503",5,200,0,0.408
"504",5,200,0,0.403
"505",5,200,0,0.77
"506",5,200,0,0.044
"507",5,200,0,0.017
"508",5,200,0,0.404
"509",5,200,0,0.602
"510",5,200,0,0.522
"511",5,200,0,0.176
"512",5,200,0,0.127
"513",5,200,0,0.965
"514",5,200,0,0.859
"515",5,200,0,0.291
"516",5,200,0,0.402
"517",5,200,0,0.15
"518",5,200,0,0.476
"519",5,200,0,0.509
"520",5,200,0,0.054
"521",5,200,0,0.039
"522",5,200,0,0.18
