X1,p,n,cor,pval,testStat
314,5,200,0.1,0.5796,16.9483269717795
315,5,200,0.1,0.1922,22.0641553951751
316,5,200,0.1,0.0678,25.8315764159144
317,5,200,0.1,0.5702,17.1373533319603
318,5,200,0.1,0.1758,22.332997646471
319,5,200,0.1,0.0044,34.8910372202232
320,5,200,0.1,2e-4,89.7011564956618
321,5,200,0.1,2e-4,66.8628512689395
322,5,200,0.1,2e-4,82.097866065186
323,5,200,0.1,2e-4,87.9542117440052
324,5,200,0.1,2e-4,83.6658365420565
325,5,200,0.1,2e-4,86.53218274689
326,5,200,0.1,2e-4,70.922047257052
327,5,200,0.1,0.8496,13.864716256018
328,5,200,0.1,2e-4,76.5199103357274
329,5,200,0.1,0.1344,23.8781135731451
330,5,200,0.1,2e-4,78.6483274393548
331,5,200,0.1,2e-4,75.8548761432628
332,5,200,0.1,2e-4,80.3137785294895
333,5,200,0.1,0.149,22.9997763498027
334,5,200,0.1,0.0566,26.4285353380268
335,5,200,0.1,0.8522,13.7082480396117
336,5,200,0.1,2e-4,73.9470043057932
337,5,200,0.1,2e-4,83.3856017290245
338,5,200,0.1,2e-4,97.3346839118818
339,5,200,0.1,0.1138,24.1455847184991
340,5,200,0.1,2e-4,81.0732195276343
341,5,200,0.1,2e-4,88.346778979748
342,5,200,0.1,0.1588,22.9276413106583
343,5,200,0.1,0.009,31.3294419212309
344,5,200,0.1,0.0086,31.4659829855046
345,5,200,0.1,2e-4,81.4095758391099
346,5,200,0.1,2e-4,50.7611676056857
347,5,200,0.1,0.008,34.0332044641145
348,5,200,0.1,0.8798,13.3064357111044
349,5,200,0.1,0.0568,26.1386148852099
350,5,200,0.1,2e-4,79.4981509690074
351,5,200,0.1,0.735,15.2343772239614
352,5,200,0.1,0.968,11.2818594265512
353,5,200,0.1,2e-4,78.9458673521058
354,5,200,0.1,2e-4,80.8984667049211
355,5,200,0.1,2e-4,78.8112933438877
356,5,200,0.1,2e-4,93.064028478897
357,5,200,0.1,0.8444,13.6356335902922
358,5,200,0.1,2e-4,74.6542859772516
359,5,200,0.1,0.058,26.3498713658383
360,5,200,0.1,2e-4,89.4735151397116
361,5,200,0.1,0.5558,17.1004077171953
362,5,200,0.1,0.5036,17.6621625830741
363,5,200,0.1,0.4104,18.9147061819524
364,5,200,0.1,2e-4,74.8966217868529
365,5,200,0.1,2e-4,77.5742506546839
366,5,200,0.1,0.9354,12.2723908524182
367,5,200,0.1,2e-4,74.7574070171498
368,5,200,0.1,0.911,12.6145953440084
369,5,200,0.1,2e-4,79.0274536537647
370,5,200,0.1,2e-4,70.9659535996939
371,5,200,0.1,2e-4,82.9421621613708
372,5,200,0.1,0.0078,32.0505494297296
373,5,200,0.1,2e-4,66.629470387051
374,5,200,0.1,2e-4,83.2580482898373
375,5,200,0.1,2e-4,74.8669381098364
376,5,200,0.1,2e-4,74.9871238058244
377,5,200,0.1,2e-4,59.7116643793699
378,5,200,0.1,0.9632,11.3059083988023
379,5,200,0.1,2e-4,87.2239448034017
380,5,200,0.1,2e-4,74.8949102007748
381,5,200,0.1,0.1114,24.2167272744552
382,5,200,0.1,0.1532,23.2744908924057
383,5,200,0.1,2e-4,74.8173841314126
384,5,200,0.1,2e-4,91.1230801836674
385,5,200,0.1,2e-4,84.9143385928508
386,5,200,0.1,0.6738,15.8209369851653
387,5,200,0.1,0.8396,13.9084380777745
388,5,200,0.1,2e-4,84.2515199735862
389,5,200,0.1,2e-4,83.8958075711428
390,5,200,0.1,2e-4,62.9478583979267
391,5,200,0.1,2e-4,87.7466224153753
392,5,200,0.1,0.723,15.4099369486801
393,5,200,0.1,2e-4,87.9476984012273
394,5,200,0.1,0.0112,31.9624664311337
395,5,200,0.1,0.024,28.6059906636925
396,5,200,0.1,2e-4,81.8778847688708
397,5,200,0.1,0.187,22.1550653150731
398,5,200,0.1,2e-4,85.7367242304584
399,5,200,0.1,0.1872,22.2999584841429
400,5,200,0.1,2e-4,71.2769788523213
401,5,200,0.1,6e-4,43.5965943992155
402,5,200,0.1,0.2494,21.1491453018577
403,5,200,0.1,0.3374,19.7439023812085
404,5,200,0.1,0.0184,30.1903653209999
405,5,200,0.1,2e-4,71.2905980450633
406,5,200,0.1,2e-4,90.8320383710522
407,5,200,0.1,0.9434,11.9911203135346
408,5,200,0.1,2e-4,90.514747486418
409,5,200,0.1,2e-4,89.8982960135376
410,5,200,0.1,0.0408,27.6316395606893
411,5,200,0.1,0.0542,26.4372248020994
412,5,200,0.1,2e-4,73.3235376165558
413,5,200,0.1,2e-4,75.5355709186752
414,5,200,0.1,2e-4,77.1112202501874
415,5,200,0.1,0.0334,28.2604741978675
416,5,200,0.1,2e-4,87.7838009695411
417,5,200,0.1,2e-4,77.6924519316804
418,5,200,0.1,2e-4,84.8667981538589
419,5,200,0.1,2e-4,79.4913299175786
420,5,200,0.1,0.4816,18.0020023890348
421,5,200,0.1,0.4342,18.4313662574562
422,5,200,0.1,2e-4,76.2973292296243
423,5,200,0.1,0.8068,14.3253250171248
424,5,200,0.1,2e-4,96.6989978105812
425,5,200,0.1,2e-4,82.6655012458687
426,5,200,0.1,2e-4,74.2034473102598
427,5,200,0.1,0.7332,15.0526612872863
428,5,200,0.1,0.716,15.3801974690864
429,5,200,0.1,0.173,22.4233453327186
430,5,200,0.1,2e-4,78.2357773288678
431,5,200,0.1,0.6064,16.5540426435343
432,5,200,0.1,2e-4,92.7453428996401
433,5,200,0.1,0.7134,15.4815164969233
434,5,200,0.1,2e-4,65.8558114303917
435,5,200,0.1,2e-4,49.5570143271073
436,5,200,0.1,2e-4,80.632533527557
437,5,200,0.1,2e-4,79.8146682888398
438,5,200,0.1,2e-4,65.8197943737856
439,5,200,0.1,2e-4,84.2147249898647
440,5,200,0.1,2e-4,79.3850801565928
441,5,200,0.1,2e-4,91.9444739118443
442,5,200,0.1,0.6768,15.8090431687736
443,5,200,0.1,0.6244,16.3640621967484
444,5,200,0.1,0.2034,21.869785431283
445,5,200,0.1,0.0116,32.2583848667832
446,5,200,0.1,2e-4,49.7033888620283
447,5,200,0.1,2e-4,89.7429951832671
448,5,200,0.1,2e-4,81.3675998200568
449,5,200,0.1,2e-4,81.1750775126002
450,5,200,0.1,2e-4,69.8472744015006
451,5,200,0.1,2e-4,78.2120840702164
452,5,200,0.1,2e-4,71.7215528307472
453,5,200,0.1,2e-4,80.2748776444702
454,5,200,0.1,0.1778,22.2888055331164
455,5,200,0.1,0.5594,17.1177492536967
456,5,200,0.1,0.2412,20.9949530311348
457,5,200,0.1,0.2466,21.1668611134561
458,5,200,0.1,2e-4,75.8285304475011
459,5,200,0.1,0.9724,10.9497874420094
460,5,200,0.1,0.254,20.8426243636528
461,5,200,0.1,0.5844,16.8113730133
462,5,200,0.1,2e-4,82.9146231041484
463,5,200,0.1,2e-4,86.9988938845704
464,5,200,0.1,2e-4,75.586156266385
465,5,200,0.1,2e-4,84.3392033061886
466,5,200,0.1,0.0462,26.6586705684271
467,5,200,0.1,2e-4,92.8768620049889
468,5,200,0.1,0.4022,18.9926228255278
469,5,200,0.1,0.801,14.3390393256802
470,5,200,0.1,2e-4,71.4384416696446
471,5,200,0.1,2e-4,74.1947934248198
472,5,200,0.1,2e-4,77.8000637562686
473,5,200,0.1,2e-4,77.2601522044572
474,5,200,0.1,0.2784,20.4916813509946
475,5,200,0.1,0.7288,15.2384507731528
476,5,200,0.1,2e-4,75.4853876147649
477,5,200,0.1,2e-4,69.705849272801
478,5,200,0.1,0.1604,22.8103374539572
479,5,200,0.1,2e-4,64.8391211986282
480,5,200,0.1,2e-4,79.2378137053427
481,5,200,0.1,0.0322,28.8119887747436
482,5,200,0.1,0.2462,21.1885328910646
483,5,200,0.1,2e-4,51.873722241507
484,5,200,0.1,0.818,14.1547446532681
485,5,200,0.1,2e-4,70.9899844834277
486,5,200,0.1,0.0036,35.8505026200584
487,5,200,0.1,2e-4,83.0890484992433
488,5,200,0.1,0.2568,20.9226847039911
489,5,200,0.1,2e-4,76.3111851023992
490,5,200,0.1,0.0874,25.0229291770344
491,5,200,0.1,0.7572,14.9200015385753
492,5,200,0.1,0.1088,24.122549502775
493,5,200,0.1,0.332,20.0437389011403
494,5,200,0.1,0.4074,18.7961527064899
495,5,200,0.1,2e-4,72.5930720284908
496,5,200,0.1,2e-4,64.1144855332486
