"","p","n","cor","pval","stat"
"269",5,200,0.1,0.14791248488036,23.8288028443577
"270",5,200,0.1,0.415700276088863,19.3498801685089
"271",5,200,0.1,2.54348811529004e-09,69.2850020010902
"272",5,200,0.1,5.14825449386088e-10,72.7902154455547
"273",5,200,0.1,0.235259153670694,21.978939889047
"274",5,200,0.1,0.0128579630452893,31.8310892232026
"275",5,200,0.1,0.451373385998885,18.915740221616
"276",5,200,0.1,0.92267754654158,13.0121362896017
"277",5,200,0.1,3.27049563049351e-11,78.766644276699
"278",5,200,0.1,3.74302333933047e-07,58.0741564538964
"279",5,200,0.1,1.17767960579975e-09,70.9787157826763
"280",5,200,0.1,1.3103291190043e-09,70.7444172626336
"281",5,200,0.1,1.51911216821717e-13,90.2084876355518
"282",5,200,0.1,8.08958149147536e-12,81.7657445221225
"283",5,200,0.1,0.0883661712225837,25.703670499785
"284",5,200,0.1,8.07075035483500e-11,76.8171361691293
"285",5,200,0.1,0.000911099809618779,39.1527553045478
"286",5,200,0.1,0.0734914417008332,26.3413452927185
"287",5,200,0.1,0.68550143514361,16.2767184243697
"288",5,200,0.1,0.694327330887296,16.1770644722529
"289",5,200,0.1,0.185137936123891,22.9574653320116
"290",5,200,0.1,0.328368913359012,20.5050168250743
"291",5,200,0.1,0.257929194877038,21.5870657411178
"292",5,200,0.1,2.76512999744282e-08,63.9808817952291
"293",5,200,0.1,0.0509791580253504,27.5660539559502
"294",5,200,0.1,1.02497851172952e-10,76.2998798100538
"295",5,200,0.1,3.05171284664454e-10,73.9307016363357
"296",5,200,0.1,2.08279725387957e-09,69.7253231574308
"297",5,200,0.1,0.526556110014922,18.0449287180457
"298",5,200,0.1,1.57694295620979e-11,80.3350031999601
"299",5,200,0.1,0.379129482468662,19.8149507246764
"300",5,200,0.1,0.00672526649597538,33.705296634174
"301",5,200,0.1,0.175128231340998,23.176923288335
"302",5,200,0.1,4.28902058375599e-05,46.8766376490803
"303",5,200,0.1,1.60188911342579e-12,85.2204789141129
"304",5,200,0.1,2.01783166471748e-12,84.7293678360793
"305",5,200,0.1,0.238661484155409,21.9184250711207
"306",5,200,0.1,6.16966346806515e-14,92.1058779866829
"307",5,200,0.1,0.498999812940895,18.3586295885347
"308",5,200,0.1,9.01258716664525e-11,76.5783415217075
"309",5,200,0.1,0.310908223029919,20.7575382310286
"310",5,200,0.1,4.03363996424856e-13,88.1457314529014
"311",5,200,0.1,0.00692635099319594,33.6214989046411
"312",5,200,0.1,0.539443461454725,17.8998284803199
"313",5,200,0.1,0.0266191507834679,29.6353941809338
"314",5,200,0.1,5.12560991643277e-10,72.7998428735912
"315",5,200,0.1,0.000380277500542068,41.4199644403698
"316",5,200,0.1,0.411181212336879,19.4061495735979
"317",5,200,0.1,0.000997722142266758,38.9137378018022
"318",5,200,0.1,0.648035769854751,16.6952332545475
"319",5,200,0.1,8.28357019424097e-13,86.6211954672614
"320",5,200,0.1,1.12972825236771e-08,65.9811237698644
"321",5,200,0.1,5.44656823976425e-11,77.6669006004838
"322",5,200,0.1,3.73708183954232e-08,63.3046861513169
"323",5,200,0.1,5.0155128870426e-11,77.8448563197169
"324",5,200,0.1,3.05177400035267e-12,83.8481231297594
"325",5,200,0.1,0.0230366161325303,30.0805753182018
"326",5,200,0.1,1.74087015103583e-14,94.761103618198
"327",5,200,0.1,1.54023142704068e-12,85.3039420712528
"328",5,200,0.1,0.0291281065011932,29.3554414492043
"329",5,200,0.1,4.47106225294606e-10,73.0981086827947
"330",5,200,0.1,0.734321097041243,15.7175932136737
"331",5,200,0.1,7.65892462754508e-13,86.7874889202093
"332",5,200,0.1,0.113919700772168,24.7981344444992
"333",5,200,0.1,2.88522123200537e-12,83.9677545165066
"334",5,200,0.1,1.6671641906858e-11,80.2155634408129
"335",5,200,0.1,8.98951143575677e-12,81.5399226216364
"336",5,200,0.1,5.91459572942102e-10,72.4870320292827
"337",5,200,0.1,0.200681022528285,22.6343905246517
"338",5,200,0.1,3.02979039917555e-09,68.8990187333264
"339",5,200,0.1,0.09146465408403,25.5827191568471
"340",5,200,0.1,4.49314358854735e-08,62.8902721713195
"341",5,200,0.1,8.09956681887405e-09,66.7213691576899
"342",5,200,0.1,4.74708006471577e-09,67.9063646965825
"343",5,200,0.1,0.0657640792390811,26.7187142595007
"344",5,200,0.1,1.60446117869422e-11,80.2978668636935
"345",5,200,0.1,0.463552106199253,18.7711271313741
"346",5,200,0.1,0.340340318583805,20.3367631492184
"347",5,200,0.1,3.23663409384472e-12,83.7227303676566
"348",5,200,0.1,1.1257500020766e-11,81.0579403789558
"349",5,200,0.1,1.08280164023717e-11,81.1413068216199
"350",5,200,0.1,2.46211272882629e-09,69.3566914067461
"351",5,200,0.1,0.410850199483576,19.4102835466925
"352",5,200,0.1,0.530264311657597,18.0030850319564
"353",5,200,0.1,1.9373900765578e-12,84.815949746779
"354",5,200,0.1,0.00016854191368197,43.4852142712206
"355",5,200,0.1,0.483149964863046,18.5416544770078
"356",5,200,0.1,0.0682496600244797,26.5932492983495
"357",5,200,0.1,2.54823031035966e-11,79.3037534150217
"358",5,200,0.1,3.74641929401225e-10,73.4838050330998
"359",5,200,0.1,1.59904654240501e-09,70.3068852183098
"360",5,200,0.1,0.264640237160424,21.4758241858323
"361",5,200,0.1,5.35276102211595e-12,82.6488886375298
"362",5,200,0.1,0.087738167946534,25.7286309447597
"363",5,200,0.1,0.0283624788937515,29.4384393507402
"364",5,200,0.1,4.84554036128628e-12,82.8615638513649
"365",5,200,0.1,1.72674737198775e-12,85.060845433337
"366",5,200,0.1,1.97910746494088e-10,74.872695918943
"367",5,200,0.1,2.12424335682097e-11,79.6950664055783
"368",5,200,0.1,6.6087701788338e-12,82.1983041546458
"369",5,200,0.1,0.811739070351434,14.7649168098965
"370",5,200,0.1,1.03105572943258e-07,61.0141363849535
"371",5,200,0.1,8.98482866614318e-13,86.4487835450039
"372",5,200,0.1,3.97611822153911e-10,73.3540520563571
"373",5,200,0.1,0.159909250017564,23.5304846574022
"374",5,200,0.1,6.15270914880891e-16,101.729902920516
"375",5,200,0.1,2.38985981820411e-05,48.2993883334961
"376",5,200,0.1,3.09811067604721e-10,73.8978394791519
"377",5,200,0.1,7.78097328370783e-10,71.8871110503791
"378",5,200,0.1,0.0126258458249632,31.8847193995765
"379",5,200,0.1,5.76560853386016e-10,72.5427910369935
"380",5,200,0.1,0.70616708464481,16.0425170406841
"381",5,200,0.1,9.55471050737039e-10,71.4372931998376
"382",5,200,0.1,1.02257895741993e-11,81.2639253052517
"383",5,200,0.1,0.000986513925904659,38.9435061217854
"384",5,200,0.1,0.0823565484570185,25.9491235816676
"385",5,200,0.1,0.211285947319781,22.4248620803383
"386",5,200,0.1,0.560544162326332,17.6639544215568
"387",5,200,0.1,1.04970349859871e-11,81.2078311824326
